Clemson,P
Alabama,P
Miami (FL),P
Georgia,P
Texas,P
Louisiana State,P
Florida State,P
Michigan,P
Southern California,P
Florida,P
Oklahoma,P
Ohio State,P
Nebraska,P
Oklahoma State,P
Auburn,P
Tennessee,P
Louisville,P
Oregon,P
Notre Dame,P
Wisconsin,P
Arizona State,P
Texas Christian,P
Stanford,P
Penn State,P
Washington,P
Central Florida,P
Utah,P
West Virginia,P
Boise State,G
Michigan State,P
Cincinnati,P
Virginia Tech,P
Kansas State,P
Missouri,P
Oregon State,G
Texas A&M,P
Baylor,P
South Carolina,P
UCLA,P
Kansas,P
Ball State,G
Miami (OH),G
Iowa,P
Arizona,P
Marshall,G
Arkansas,P
Houston,P
North Carolina,P
Georgia Tech,P
Coastal Carolina,G
Texas Tech,P
Brigham Young,P
Mississippi,P
Colorado,P
Rutgers,P
Buffalo,G
Louisiana,G
Appalachian State,G
California,P
Washington State,G
Iowa State,P
Nevada,G
Air Force,G
Tulane,G
Pittsburgh,P
Western Michigan,G
Boston College,P
Liberty,G
Maryland,P
Syracuse,P
Minnesota,P
Utah State,G
Memphis,G
Illinois,P
San Jose State,G
Western Kentucky,G
Southern Mississippi,G
North Carolina State,P
Toledo,G
Fresno State,G
Navy,G
Hawaii,G
Kentucky,P
Wake Forest,P
Mississippi State,P
San Diego State,G
Troy,G
Northwestern,P
Northern Illinois,G
Colorado State,G
South Florida,G
Army,G
James Madison,G
Purdue,P
Virginia,P
Florida Atlantic,G
Central Michigan,G
Bowling Green State,G
Indiana,P
Texas-San Antonio,G
Arkansas State,G
Southern Methodist,P
Tulsa,G
East Carolina,G
Wyoming,G
Duke,P
Vanderbilt,P
Connecticut,G
Kent State,G
Louisiana Tech,G
Georgia Southern,G
Rice,G
Temple,G
Alabama-Birmingham,G
North Texas,G
Ohio,G
South Alabama,G
Middle Tennessee State,G
Texas-El Paso,G
Old Dominion,G
Jacksonville State,G
New Mexico,G
New Mexico State,G
Nevada-Las Vegas,G
Georgia State,G
Florida International,G
Louisiana-Monroe,G
Eastern Michigan,G
Akron,G
Texas State,G
Charlotte,G
Massachusetts,G
Sam Houston,G
Kennesaw State,G
Delaware State,F
Montana State,F
Sacramento State,F
Howard,F
North Carolina A&T,F
New Hampshire,F
Western Carolina,F
Jackson State,F
Lafayette,F
Fordham,F
Central Connecticut,F
Arkansas-Pine Bluff,F
Duequense,F
Murray State,F
North Dakota State,F
Lindenwood,F
Alcorn State,F
SE Louisiana,F
Northwestern State,F
Southern Utah,F
Eastern Illinois,F
Lehigh,F
Elon,F
Texas A&M-Commerce,F
Robert Morris,F
Illinois State,F
Austin Peay,F
Indiana State,F
Bucknell,F
Chattanooga,F
South Dakota State,F
Towson,F
Portland State,F
East Tennessee State,F
North Dakota,F
Merrimack,F
Western Illinois,F
Stony Brook,F
UC Davis,F
Eastern Kentucky,F
Campbell,F
Richmond,F
Norfolk State,F
Idaho State,F
Furman,F
Central Arkansas,F
Bethune-Cookman,F
Tarleton State,F
UT Martin,F
Tennessee Tech,F
North Alabama,F
Alabama A&M,F
Idaho,F
Abilene Christian,F
Southern Illinois,F
Houston Christian,F
Grambling,F
Nicholls,F
Lamar,F
Southeast Missouri State,F
Weber State,F
Utah Tech,F
Northern Colorado,F
Rhode Island,F
McNeese,F
Missouri State,F
St. Francis (PA),F
South Dakota,F
Duquesne,F
UAlbany,F
Florida A&M,F
Gardner-Webb,F
Samford,F
William & Mary,F
Cal Poly,F
Texas Southern,F
Stephen F. Austin,F
Long Island University,F
Northern Arizona,F
Prairie View A&M,F
VMI,F
Morgan State,F
North Carolina Central,F
South Carolina State,F
Colgate,F
Northern Iowa,F
Villanova,F
Eastern Washington,F
Youngstown State,F
Monmouth,F
Holy Cross,F
Wagner,F
Maine,F
Mercer,F
The Citadel,F
Charleston Southern,F
Wofford,F
